5104 [[15, 12, 1], [16, 10, 2], [15, 10, 9]]
87408 [[44, 13, 3], [40, 26, 18], [34, 33, 23]]
87912 [[42, 24, 0], [44, 12, 10], [37, 27, 26]]
90280 [[43, 22, 5], [44, 16, 10], [37, 32, 19]]
90873 [[41, 28, 0], [38, 33, 4], [36, 34, 17]]
91133 [[45, 2, 0], [40, 29, 14], [38, 30, 21]]
91216 [[45, 4, 3], [40, 30, 6], [41, 28, 7]]
91232 [[44, 18, 6], [39, 30, 17], [36, 30, 26]]
91854 [[45, 9, 0], [39, 31, 14], [36, 33, 21]]
92520 [[45, 11, 4], [38, 30, 22], [39, 26, 25]]
93339 [[43, 24, 2], [36, 36, 3], [43, 20, 18], [36, 30, 27]]
93744 [[37, 35, 6], [40, 30, 14], [42, 24, 18]]
94184 [[38, 34, 2], [44, 20, 10], [45, 12, 11], [38, 33, 15]]
95229 [[45, 16, 2], [45, 15, 9], [37, 30, 26]]
95507 [[38, 34, 11], [41, 29, 13], [43, 20, 20]]
95519 [[40, 31, 12], [45, 13, 13], [33, 31, 31]]
96832 [[40, 32, 4], [44, 22, 10], [40, 30, 18]]
96984 [[45, 18, 3], [40, 32, 6], [39, 33, 12]]
97336 [[46, 0, 0], [37, 36, 3], [37, 30, 27]]
97768 [[46, 6, 6], [40, 32, 10], [42, 28, 12]]
97875 [[46, 8, 3], [45, 15, 15], [44, 19, 18]]
98496 [[45, 19, 8], [40, 32, 12], [33, 32, 31]]
99072 [[46, 12, 2], [44, 24, 4], [34, 32, 30]]
